sepalLength	sepalWidth	petalLength	petalWidth	species
4	11.0	371743	4274441	2
5	5.0	123094	655822	1
5	5.0	110060	536881	1
4	6.0	28566	171228	4
4	8.0	182058	1376151	4
3	7.0	36229	253256	4
3	8.0	42025	334969	4
4	9.0	47427	442731	4
5	6.0	64699	392020	4
3	6.0	49568	314799	4
3	6.0	99989	570823	4
4	5.0	333926	1710205	4
4	3.0	80429	242640	4
3	7.0	25055	181447	4
4	7.0	64413	473306	8
4	4.0	94624	415382	8
4	6.0	67292	397717	8
4	7.0	80926	566947	8
4	3.0	210466	691786	8
5	5.0	310606	1474050	4
5	8.0	119383	913482	4
4	6.0	22391	130085	4
5	4.0	136103	585056	4
4	6.0	59500	347177	4
4	5.0	291971	1404330	4
4	5.0	120171	646920	4
4	5.0	370149	1819903	4
4	10.0	37112	368343	4
5	5.0	62619	306780	7
1	6.0	4506	25520	7
4	4.0	222057	883817	7
3	4.0	274786	990851	7
4	4.0	107822	418227	7
3	4.0	119275	518771	7
3	3.0	95020	304539	7
4	4.0	136161	494053	7
4	6.0	33463	187645	7
5	4.0	219061	794760	7
5	5.0	46431	253582	7
4	4.0	61080	272072	7
4	4.0	496481	2106523	7
3	5.0	91511	450145	7
4	4.0	669336	2394510	7
3	3.0	214795	689294	7
4	6.0	160199	1013719	7
3	5.0	9015	43518	7
3	4.0	179418	784505	7
4	6.0	48156	306849	7
4	3.0	167719	563753	7
4	3.0	898399	3102307	7
4	5.0	189738	1032164	7
4	5.0	226938	1146328	7
4	4.0	346667	1499101	7
4	3.0	321884	1087468	7
4	5.0	125578	571373	7
4	5.0	145290	773031	7
5	3.0	173302	571535	7
1	4.0	210803	938559	7
2	5.0	45911	231972	7
2	5.0	45930	230838	7
4	8.0	6652	54483	7
4	4.0	6226	25751	7
3	4.0	51054	211141	7
5	8.0	20166	162838	7
4	8.0	189231	1450102	7
4	5.0	283967	1533395	7
4	5.0	163060	828113	7
3	5.0	114990	630805	7
3	4.0	6755	24081	7
2	5.0	8811	44089	7
4	5.0	7142	36165	7
4	4.0	29200	128966	7
3	4.0	7239	26907	7
3	4.0	2398	8913	7
2	8.0	2253	18618	7
2	16.0	13250	210489	7
2	6.0	22927	130987	7
3	4.0	41772	154847	7
2	5.0	108188	523196	7
3	5.0	75673	393561	7
3	7.0	105193	741245	7
5	1.0	87546	128196	7
4	1.0	269783	242680	7
4	16.0	21658	354873	7
3	12.0	8435	104370	7
4	3.0	8331	28104	7
4	4.0	11369	44412	7
4	8.0	1075	8288	7
2	6.0	1901	10725	7
4	8.0	22552	188902	7
5	9.0	8345	73765	7
5	11.0	6207	70435	7
4	2.0	1409	2706	7
3	8.0	9583	75150	7
4	8.0	70525	553072	7
3	12.0	28	333	7
2	8.0	9783	76718	7
5	13.0	10247	135785	7
3	8.0	4551	35543	7
3	12.0	58688	681710	7
2	8.0	11085	87404	7
5	9.0	8946	84421	7
4	3.0	245642	615594	7
4	2.0	83932	182105	7
3	4.0	46680	203978	8
4	4.0	28973	129782	8
